Name,Latitude,Longitude
Amritsar,31.634,74.8723
Ludhiana,30.9,75.8573
Jalandhar,31.326,75.5762
Patiala,30.3398,76.3869
Bathinda,30.211,74.9455
Hoshiarpur,31.5324,75.912
Ferozepur,30.925,74.6131
Pathankot,32.2643,75.6421
